Prap	DpleGene	MsexGene
PIERAPT00000023953	DPOGS202601	Msex2.00543
PIERAPT00000025103	DPOGS202601	Msex2.00543
PIERAPT00000015154	DPOGS203257	Msex2.10269
PIERAPT00000030549	DPOGS203257	Msex2.10269
PIERAPT00000008024	DPOGS205506	Msex2.11025
PIERAPT00000011681	DPOGS205506	Msex2.11025
PIERAPT00000008336	DPOGS208077	Msex2.09799
PIERAPT00000033348	DPOGS208077	Msex2.09799
PIERAPT00000014562	DPOGS208458	Msex2.07851
PIERAPT00000033056	DPOGS208458	Msex2.07851
PIERAPT00000006539	DPOGS208890	Msex2.10529
PIERAPT00000029346	DPOGS208890	Msex2.10529
PIERAPT00000014502	DPOGS209294	Msex2.04003
PIERAPT00000030004	DPOGS209294	Msex2.04003
PIERAPT00000013017	DPOGS200051	Msex2.07359
PIERAPT00000019949	DPOGS200051	Msex2.07359
PIERAPT00000002176	DPOGS201640	Msex2.01775
PIERAPT00000003043	DPOGS201640	Msex2.01775
PIERAPT00000006182	DPOGS202129,DPOGS202130	Msex2.06763
PIERAPT00000021374	DPOGS206301	Msex2.08666
PIERAPT00000026320	DPOGS206301	Msex2.08666
PIERAPT00000001597	DPOGS206401	Msex2.00948
PIERAPT00000008533	DPOGS206401	Msex2.00948
PIERAPT00000024220	DPOGS206511	Msex2.07952
PIERAPT00000025544	DPOGS206511	Msex2.07952
PIERAPT00000005731	DPOGS206701,DPOGS206702	Msex2.01195
PIERAPT00000021434	DPOGS212380	Msex2.09152
PIERAPT00000021580	DPOGS212380	Msex2.09152
PIERAPT00000010596	DPOGS213133	Msex2.14768
PIERAPT00000025485	DPOGS213133	Msex2.14768
PIERAPT00000017271	DPOGS214071	Msex2.02676
PIERAPT00000023869	DPOGS214071	Msex2.02676
PIERAPT00000001605	DPOGS204129	Msex2.00764
PIERAPT00000012231	DPOGS204129	Msex2.00764
PIERAPT00000004568	DPOGS204633	Msex2.04165
PIERAPT00000011887	DPOGS204633	Msex2.04165
PIERAPT00000010434	DPOGS207540	Msex2.07364
PIERAPT00000035171	DPOGS207540	Msex2.07364
PIERAPT00000031888	DPOGS207774	Msex2.08814
PIERAPT00000034364	DPOGS207774	Msex2.08814
PIERAPT00000001428	DPOGS208753,DPOGS208754	Msex2.04099
PIERAPT00000021895	DPOGS211100	Msex2.10353
PIERAPT00000023138	DPOGS211100	Msex2.10353
PIERAPT00000002197	DPOGS202258	Msex2.13947
PIERAPT00000012488	DPOGS202258	Msex2.13947
PIERAPT00000015753	DPOGS202508	Msex2.02508
PIERAPT00000035567	DPOGS202508	Msex2.02508
