# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	4	0.493	DPOGS213133-PA	Msex2.14768-RA	PIERAPT00000010596,PIERAPT00000025485
3	4	0.493	DPOGS214071-PA	Msex2.02676-RA	PIERAPT00000017271,PIERAPT00000023869
3	4	0.492	DPOGS204129-PA	Msex2.00764-RA	PIERAPT00000001605,PIERAPT00000012231
3	4	0.492	DPOGS204633-PA	Msex2.04165-RA	PIERAPT00000004568,PIERAPT00000011887
3	4	0.492	DPOGS207540-PA	Msex2.07364-RA	PIERAPT00000010434,PIERAPT00000035171
3	4	0.492	DPOGS207774-PA	Msex2.08814-RA	PIERAPT00000031888,PIERAPT00000034364
3	4	0.492	DPOGS208753-PA,DPOGS208754-PA	Msex2.04099-RA	PIERAPT00000001428
3	4	0.492	DPOGS211100-PA	Msex2.10353-RA	PIERAPT00000021895,PIERAPT00000023138
3	4	0.491	DPOGS202258-PA	Msex2.13947-RA	PIERAPT00000002197,PIERAPT00000012488
3	4	0.491	DPOGS202508-PA	Msex2.02508-RA	PIERAPT00000015753,PIERAPT00000035567
3	4	0.491	DPOGS203226-PA,DPOGS203227-PA	Msex2.00410-RA	PIERAPT00000033182
3	4	0.491	DPOGS205217-PA	Msex2.09818-RB,Msex2.14077-RA	PIERAPT00000013854
3	4	0.491	DPOGS206008-PA,DPOGS210528-PA	Msex2.04807-RA	PIERAPT00000000568
3	4	0.491	DPOGS210753-PA	Msex2.09341-RA,Msex2.12014-RA	PIERAPT00000032543
3	4	0.491	DPOGS212111-PA	Msex2.04324-RC	PIERAPT00000024920,PIERAPT00000031733
3	4	0.491	DPOGS212712-PA	Msex2.10649-RA,Msex2.12839-RA	PIERAPT00000026695
3	4	0.491	DPOGS213690-PA	Msex2.08355-RA	PIERAPT00000001796,PIERAPT00000019608
3	4	0.491	DPOGS214629-PA	Msex2.11004-RA	PIERAPT00000018616,PIERAPT00000026870
3	4	0.491	DPOGS215997-PA	Msex2.09488-RB,Msex2.12667-RA	PIERAPT00000005840
3	4	0.491	DPOGS216023-PA	Msex2.06157-RB,Msex2.06169-RA	PIERAPT00000024461
3	4	0.491	DPOGS216068-PA	Msex2.01669-RA	PIERAPT00000013545,PIERAPT00000024254
3	4	0.49	DPOGS201741-PA	Msex2.06509-RA	PIERAPT00000002731,PIERAPT00000027908
3	4	0.49	DPOGS201877-PA	Msex2.06895-RA	PIERAPT00000014299,PIERAPT00000018662
3	4	0.49	DPOGS204627-PA	Msex2.04156-RA	PIERAPT00000022098,PIERAPT00000030429
3	4	0.49	DPOGS205446-PA	Msex2.03524-RA	PIERAPT00000026549,PIERAPT00000026834
3	4	0.49	DPOGS206267-PA,DPOGS206268-PA	Msex2.08058-RA	PIERAPT00000022250
3	4	0.49	DPOGS208312-PA	Msex2.11863-RB	PIERAPT00000000952,PIERAPT00000033741
3	4	0.49	DPOGS209635-PA	Msex2.12018-RA	PIERAPT00000020079,PIERAPT00000027777
3	4	0.49	DPOGS213142-PA	Msex2.08807-RA,Msex2.14226-RA	PIERAPT00000035138
3	4	0.49	DPOGS214935-PA	Msex2.12566-RA	PIERAPT00000000476,PIERAPT00000019588
3	4	0.489	DPOGS200451-PA	Msex2.08152-RA	PIERAPT00000027336,PIERAPT00000029262
3	4	0.489	DPOGS200945-PA	Msex2.13231-RA,Msex2.14447-RA	PIERAPT00000026404
3	4	0.489	DPOGS203884-PA	Msex2.13959-RA,Msex2.14573-RA	PIERAPT00000023633
3	4	0.489	DPOGS206614-PA,DPOGS206615-PA	Msex2.00531-RA	PIERAPT00000015000
3	4	0.489	DPOGS209109-PA	Msex2.11911-RA	PIERAPT00000007533,PIERAPT00000031634
3	4	0.489	DPOGS209319-PA	Msex2.06259-RB	PIERAPT00000001880,PIERAPT00000024353
3	4	0.489	DPOGS214934-PA	Msex2.12564-RB	PIERAPT00000016021,PIERAPT00000028309
3	4	0.489	DPOGS215011-PA	Msex2.13056-RA	PIERAPT00000021018,PIERAPT00000022120
3	4	0.489	DPOGS215726-PA	Msex2.00921-RB	PIERAPT00000009370,PIERAPT00000016223
3	4	0.488	DPOGS200343-PA	Msex2.05346-RA	PIERAPT00000003317,PIERAPT00000026990
3	4	0.488	DPOGS202385-PA	Msex2.09226-RA	PIERAPT00000007662,PIERAPT00000018148
3	4	0.488	DPOGS203095-PA	Msex2.01964-RA	PIERAPT00000013842,PIERAPT00000022154
3	4	0.488	DPOGS205048-PA	Msex2.05005-RA	PIERAPT00000000248,PIERAPT00000031756
3	4	0.488	DPOGS207485-PA	Msex2.13132-RC	PIERAPT00000003985,PIERAPT00000035310
3	4	0.488	DPOGS212250-PA,DPOGS212251-PA	Msex2.04039-RA	PIERAPT00000023863
3	4	0.488	DPOGS214367-PA,DPOGS214368-PA	Msex2.07614-RA	PIERAPT00000008269
3	4	0.487	DPOGS201608-PA	Msex2.08431-RA	PIERAPT00000000229,PIERAPT00000004148
3	4	0.487	DPOGS203700-PA	Msex2.00199-RA	PIERAPT00000022316,PIERAPT00000034898
3	4	0.487	DPOGS206459-PA	Msex2.01904-RB	PIERAPT00000028880,PIERAPT00000034404
