ID=PIERAPG00000000536;Name=Neto2unc-84
ID=PIERAPG00000000537;Name=pnr
ID=PIERAPG00000000538;Name=G112437
ID=PIERAPG00000000539;Name=PRKDC
ID=PIERAPG00000000540;Name=TRYP1
ID=PIERAPG00000000541;Name=Cpa2
ID=PIERAPG00000000542;Name=PAQR4
ID=PIERAPG00000000543;Name=CA10
ID=PIERAPG00000000544;Name=ZFAND5
ID=PIERAPG00000000545;Name=MYO18A
ID=PIERAPG00000000546;Name=ispH
ID=PIERAPG00000000547;Name=DOLPP1PUT4
ID=PIERAPG00000000548;Name=BURP10
ID=PIERAPG00000000549;Name=PI3K2
ID=PIERAPG00000000550;Name=GKN1
ID=PIERAPG00000000551;Name=ywrD
ID=PIERAPG00000000552;Name=APMAP
ID=PIERAPG00000000553;Name=srb8
ID=PIERAPG00000000554;Name=RDRP_2
ID=PIERAPG00000000555;Name=3GGT
ID=PIERAPG00000000556;Name=AK3
ID=PIERAPG00000000557;Name=MYRO1_3
ID=PIERAPG00000000558;Name=R102.4
ID=PIERAPG00000000559;Name=slc36a4_2
ID=PIERAPG00000000560;Name=ALG8
ID=PIERAPG00000000561;Name=Abp1
ID=PIERAPG00000000562;Name=Aper1rhgA
ID=PIERAPG00000000563;Name=akr2e
ID=PIERAPG00000000564;Name=Prkag2
ID=PIERAPG00000000565;Name=infB
ID=PIERAPG00000000566;Name=pdhB
ID=PIERAPG00000000567;Name=G112932
ID=PIERAPG00000000568;Name=OSBPL8
ID=PIERAPG00000000569;Name=atg101
ID=PIERAPG00000000570;Name=SEP15
ID=PIERAPG00000000571;Name=MRPS34
ID=PIERAPG00000000572;Name=COL6A2COL6A3COL6A5
ID=PIERAPG00000000573;Name=araA2
ID=PIERAPG00000000574;Name=mRpL33
ID=PIERAPG00000000575;Name=Rtn4rl2
ID=PIERAPG00000000576;Name=anon-3B1.2
ID=PIERAPG00000000577;Name=Ddx56
ID=PIERAPG00000000578;Name=G105382
ID=PIERAPG00000000579;Name=Cdca3
ID=PIERAPG00000000580;Name=Jph3
ID=PIERAPG00000000581;Name=nell2NELL1
ID=PIERAPG00000000582;Name=CG12034
ID=PIERAPG00000000583;Name=copY
ID=PIERAPG00000000584;Name=hisZ
ID=PIERAPG00000000585;Name=CERS6
ID=PIERAPG00000000586;Name=LystcomA
ID=PIERAPG00000000587;Name=TRIM45
ID=PIERAPG00000000588;Name=G104548
ID=PIERAPG00000000589;Name=gfod1
ID=PIERAPG00000000590;Name=ATPsyn-d
ID=PIERAPG00000000591;Name=G107797
ID=PIERAPG00000000592;Name=PRKC2
ID=PIERAPG00000000593;Name=CG1785
ID=PIERAPG00000000594;Name=grh
ID=PIERAPG00000000595;Name=G105554
ID=PIERAPG00000000596;Name=SMURF2
ID=PIERAPG00000000597;Name=Amt
ID=PIERAPG00000000598;Name=GTSF1
ID=PIERAPG00000000599;Name=ANKFY1
ID=PIERAPG00000000600;Name=Sb_2
ID=PIERAPG00000000601;Name=KLF10
ID=PIERAPG00000000602;Name=ACES
ID=PIERAPG00000000603;Name=SRP72
ID=PIERAPG00000000604;Name=Vamp7
ID=PIERAPG00000000605;Name=G102067
ID=PIERAPG00000000606;Name=ydgI
ID=PIERAPG00000000607;Name=gsiA
ID=PIERAPG00000000608;Name=PA1
ID=PIERAPG00000000609;Name=rpsC
ID=PIERAPG00000000610;Name=Wbp2WBP2NL
ID=PIERAPG00000000611;Name=TMEM110
ID=PIERAPG00000000612;Name=PPIEcyp33
ID=PIERAPG00000000613;Name=Obp68
ID=PIERAPG00000000614;Name=UQCRFS1
ID=PIERAPG00000000615;Name=SULT1E1
